,PSTATABB,PNAME,SECTOR,CNTYNAME,LAT,LON,UTLSRVNM,BANAME,PLFUELCT,NAMEPCAP,PLNGENAN,PLCO2AN,PLGENACL,PLGENAOL,PLGENAGS,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOF,PLGENATN,PLGENATR
0,AL,Albertville,Electric Utility,Marshall,34.363389,-86.223889,Albertville Municipal Utilities Board,Tennessee Valley Authority,OIL,4,0,,0,0,0,0,0,0,0,0,0,0,0
1,AL,AMEA Sylacauga Plant,Electric Utility,Talladega,33.1661,-86.2825,Alabama Municipal Elec Authority,"Southern Company Services, Inc. - Trans",GAS,98.6,104017,60630.3,0,0,104017,0,0,0,0,0,0,104017,0
2,AL,ANAD Solar Array,Electric Utility,Calhoun,33.626728,-85.969481,Alabama Power Co,"Southern Company Services, Inc. - Trans",SOLAR,7.4,11533,,0,0,0,0,0,0,11533,0,0,0,11533
3,AL,Bankhead Dam,Electric Utility,Tuscaloosa,33.458665,-87.356823,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,53.9,174904,,0,0,0,174904,0,0,0,0,0,0,174904
4,AL,Barry,Electric Utility,Mobile,31.0069,-88.0103,Alabama Power Co,"Southern Company Services, Inc. - Trans",COAL,2569.5,11894419,7588387.1,3314500.9,0,8579918.14,0,0,0,0,0,0,11894419.04,0
5,AL,Bartletts Ferry,Electric Utility,Lee,32.663,-85.0908,Georgia Power Co,"Southern Company Services, Inc. - Trans",HYDRO,173,423677,,0,0,0,423677,0,0,0,0,0,0,423677
6,AL,Bellefonte,Electric Utility,Jackson,34.7092,-85.9278,Tennessee Valley Authority,Tennessee Valley Authority,OIL,14,,,,,,,,,,,,,
7,AL,Browns Ferry,Electric Utility,Limestone,34.7042,-87.1189,Tennessee Valley Authority,Tennessee Valley Authority,NUCLEAR,3854,29325461,,0,0,0,0,0,0,0,0,0,29325461,0
8,AL,Calhoun Generating Facility,Electric Utility,Calhoun,33.5883,-85.9731,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,748,494556,320609.837,0,15524.621,479031.38,0,0,0,0,0,0,494556.001,0
9,AL,Central Alabama Gen Station,Electric Utility,Autauga,32.6497,-86.74,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,927.1,4552867,2037885.6,0,0,4552867,0,0,0,0,0,0,4552867,0
10,AL,Colbert,Electric Utility,Colbert,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,GAS,476,15325,31752.6,0,0,15325,0,0,0,0,0,0,15325,0
11,AL,Crestwood Dothan,IPP Non-CHP,Houston,31.262356,-85.402737,Crestwood Corp,"Southern Company Services, Inc. - Trans",OIL,8.6,386,444.981,0,386,0,0,0,0,0,0,0,386,0
12,AL,"Cumblerland Land Holdings, LLC",IPP Non-CHP,Limestone,34.94974,-86.868053,"Cumberland Land Holdings, LLC",Tennessee Valley Authority,SOLAR,14.7,32353,,0,0,0,0,0,0,32353,0,0,0,32353
13,AL,Decatur Energy Center,IPP Non-CHP,Morgan,34.6292,-87.0214,Decatur Energy Center LLC,Tennessee Valley Authority,GAS,902.4,2769516,1214726.11,0,0,2769516,0,0,0,0,0,0,2769516,0
14,AL,Decatur-Morgan Co LFG Recovery Project,IPP Non-CHP,Morgan,34.623611,-87.101111,EDL Inc,Tennessee Valley Authority,BIOMASS,1.6,13040,0,0,0,0,0,13040,0,0,0,0,0,13040
15,AL,E B Harris Generating Plant,IPP Non-CHP,Autauga,32.381352,-86.574366,Southern Power Co,"Southern Company Services, Inc. - Trans",GAS,1304,6762115,2811036.475,0,0,6762115,0,0,0,0,0,0,6762115,0
16,AL,E C Gaston,Electric Utility,Shelby,33.244211,-86.458056,Alabama Power Co,"Southern Company Services, Inc. - Trans",COAL,2034,4044923,3823447.102,1756576.6,277,2288069.4,0,0,0,0,0,0,4044923,0
17,AL,Fort Rucker Solar Array,Electric Utility,Dale,31.331148,-85.73019,Alabama Power Co,"Southern Company Services, Inc. - Trans",SOLAR,10.6,13936,,0,0,0,0,0,0,13936,0,0,0,13936
18,AL,Gadsden,Electric Utility,Etowah,34.0128,-85.9708,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,138,-3822,1246.25,0,0,-3822,0,0,0,0,0,0,-3822,0
